transcripts,file_name
"ভাইয়ে কিরগি, ভাইয়ের একবার আইডির তুন আঁই ডুইক্কিলাম। তই ডুইক্কি দে অইলদি এন্ডে ভাইয়ের জিমেইল ফানলার আঁর আইডিত ক্যানে এড অই গেইয়্যেগই। ভাইয়ের জিমেইল আইডি ইবার তে পাসওয়ার্ড চেইঞ্জ গরি আঁর আইডির পাসওয়ার্ডও চেইঞ্জ অই গিয়্যে। 
ভাইয়া কিরগি আঁর আইডিত ঢুকিয়ারে খনে মেসেজ গইরগি, কিরগি আঁর আইডি টাইডি বেয়াকগিন চেক গরি সাই আইসসি।",test_chittagong (179).wav
"আল্লাহ! তই এন্ডে আঁর <> তোর খোন আইডিত? 
এ সাবেকুন। সাবেকুন ইসলাম যেটা আইডি ইবে দি এইগিন চালাইদি বেয়াকগিন এহন। তই এন্ডে অইলদি আঁই বউত কিছু সেইভ গরি রাইক্কিলাম। 
তই ফোয়া ইবে তো ঠিক ন। খোনো সা আবার আঁরার ছবি গেইয়্যেগই না?",test_chittagong (180).wav
"না, না!  ভাইয়ে ঠিক ন দে ন। ভাইয়ের জিমেইল একাউন্ট অত যে আঁর আইডি সেইভ অই গেইয়্যে, ভাইয়া ন জাইনতু। 
হুম। 
তো ভাইয়ার এন্ডে বেশি নোটিফিকেশন আইয়্যের দে ভাইয়ে কিরগি চেইঞ্জ গরি দিয়্যে। এক চেইঞ্জত বেয়াকগিন শেষ। আঁর আইডিত খবার ঢুকি-টুকিয়ারে খনে মেসেজ গইরগে টইরগে বেয়াকগিন সাই আইসসে।",test_chittagong (181).wav
"ইতারে ফাইয়্যে না? 
অয়ো, বউত সমইস্যাত ফইরগিলাম আঁই। 
তো। 
তই। 
অনে কলেজত-টলেজত যাইলে আঁরার ইন্দি যাইয়্যুন না?",test_chittagong (182).wav
"অয়ো যাইউম। তুই যাইলে যাইয়্যুম দে এরি। 
অ্যাঁ?
আর বাচি থাহিলে যাইয়্যুম। তুই যাইলে যাইয়্যুম দে আরি আর বাচি থাহিলে যাইয়্যুম দে আরি। 
আঁই সাই আঁরতে এন্ডে এইল্লা ভালা ন লাগের। যাইতগই ফারি নি শঅরে শঅরে। আঁর আম্মুরে ন খইয়্যুন, আঁর আম্মুরে খতা ইবে খইলে আঁর আম্মু। 
তুই গেইয়্যস দে এডের তুন বিশ-পঁচিশ দিনে নামিবি নি? 
হাহাহা 
গেইয়্যস দে গেইয়্যস <>",test_chittagong (183).wav
"আইসসি খবছর ফরে, এহতেরলাই। 
তই গেয়া, জেরিন্যা তারা কিছু ন খয়? 
কী অইবু!  জেরিন আফু তারার খতা ন খইয়্যন, জেরিন আফু তারার লয় আঁই ন মাতির এহন। গরম অই গেইয়্যিগই আজিয়ে। 
কিয়া?  জেরিন্যার লয় গরম অই গেইয়্যস যে?
অয়ো",test_chittagong (184).wav
"কিল্লাই? 
ধুরো, ন খইয়্যন ইতারার খতা। এন্ডে বউত কাহিনী অই যারগুই। 
তই? 
জেরিন আফুর লয় অনের খতা ন অয়? 
না। 
কিয়া? 
এত্তে ওই ঢাহা একবার গেয়া চিটাগাং একবার আইসসে দে ইতি।",test_chittagong (185).wav
"হুম 
ইতি এত্তে আঁরে <> খরদে আমি চিটাগাং যাচ্ছি, আর খোনো খবর নাই। আঁই খইরদি তুই চিটাগাং আইলেও আঁরে তোরার বাড়িত যাইতু খইয়্যে। আঁই খইদে আঁই ইতারার বাড়িত যাইতাম ন এহন, তুই আগেদি যুথি রে লই আঁরার বাড়িত আয় আঁই খইরদি আঁই তই তোরার লয় যাইয়্যুম। 
আঁর আম্মু খইয়্যেদে অনেরে আইবার লাই।",test_chittagong (186).wav
"আর ন আইয়্যে তই। 
আঁর আম্মু অনেরে আইসতু খইয়্যে, এহতেরলাই। 
খত্তে খইয়ে? 
অনেরে এত্তে খইলাম দে ন আইবার লাই? 
অয়ো। 
অনে আইলে ঘুরিত্যাইরতেন, আঁরা খইল্লা ঘুরা ঘুইরগি জানন না?",test_chittagong (187).wav
"অয়ো, জেরিন্যা এন কি <> বই থাহে না? ইতের টইলের ইবের অভ্যাস ইবে আছে এডে ঢাহার টইলতে টইলতে এডেও টলের। 
জেরিন আফু এন্ডে যতদিন আছিলো এন্ডের মইদ্দ্যে মাত্র দুইদিন ফানলার আঁর লয় দেহা অইয়্যে। <>
হুম? 
ইতিরে তো <> এইল্লা টইলতো ন দে তবুও ইতি এন্ডে চিটাগাং অত আইলি বেশি গরে",test_chittagong (188).wav
"পাপ্পু ভাই ইতিরে ওই ইতিরে এইল্লা দামও ন দেয়। 
ইতি পাপ্পুরে ন ডরায় ফানলার। 
পাপ্পু ভাইয়ে কী ডরাইবু, পাপ্পু ভাই ইতির লয় ন মাতেগই। 
ন মাতে যে? 
অয়ো। 
তই ইতি ইতির আফারে ডরায় দে। 
অ। 
শান্তারে। 
অ।",test_chittagong (189).wav
"ইতির ওরো বাড়ির।
তই শান্তা আফু তো কিছু ন খয়। 
ন খয় কি! 
খইলে ইতি এইল্লে গরি টলিত্যারেনা এন্ডে আইলি চিটাগাং অত? 
ইয়্যিন লইয়ারে বউত ঝামেলা অইয়্যে, এন্ডে মাঝখান দি ইতারার এন্ডে ওকগো সমইস্যা অইয়্যে। এন্ডে মাঝখান দি বাজি গেইয়্যি দে আঁই।",test_chittagong (190).wav
"আঁর তুন ডরে যাইতেও মনে ন খর। অনে জানন দে না গতবার চিটাগাং আইসসুন দে ওকগো খতা? 
অ্যাঁ?
গতবার চিটাগাং অত আইসসুন দে অনে আছিলেন দে এত্তে এক্কান জিনিস ইবা অনে জানন দে ন? 
অয়ো।",test_chittagong (191).wav
